date,open,high,low,close
2017-01-01,,,,
2017-01-02,0.7436,0.7467,0.7429,0.7433
2017-01-03,0.7431,0.746,0.7424,0.7446
2017-01-04,0.7443,0.7526,0.7426,0.7515
2017-01-05,0.7513,0.7579,0.7507,0.7556
2017-01-06,0.7553,0.7586,0.7532,0.7556
2017-01-07,,,,
2017-01-08,,,,
2017-01-09,0.7541,0.7574,0.7527,0.756
2017-01-10,0.756,0.7578,0.7538,0.7554
2017-01-11,0.755,0.7619,0.7519,0.7584
2017-01-12,0.7581,0.7672,0.7581,0.7604
2017-01-13,0.76,0.7627,0.7589,0.7622
2017-01-14,,,,
2017-01-15,,,,
2017-01-16,0.7611,0.7621,0.7578,0.7582
2017-01-17,0.7579,0.768,0.7578,0.766
2017-01-18,0.766,0.7667,0.7529,0.7536
2017-01-19,0.7532,0.7543,0.7484,0.7504
2017-01-20,0.7501,0.7526,0.7465,0.7498
2017-01-21,,,,
2017-01-22,,,,
2017-01-23,0.7499,0.7562,0.7495,0.7561
2017-01-24,0.7558,0.7621,0.7515,0.7595
2017-01-25,0.7595,0.7654,0.7593,0.765
2017-01-26,0.7646,0.7658,0.7611,0.7636
2017-01-27,0.7633,0.7639,0.7597,0.7606
2017-01-28,,,,
2017-01-29,,,,
2017-01-30,0.761,0.7644,0.7589,0.7623
2017-01-31,0.762,0.7708,0.7615,0.7666
2017-02-01,0.7662,0.7671,0.7627,0.7665
2017-02-02,0.7662,0.7701,0.7657,0.7672
2017-02-03,0.7672,0.7694,0.765,0.768
2017-02-04,,,,
2017-02-05,,,,
2017-02-06,0.7671,0.7686,0.761,0.7645
2017-02-07,0.7642,0.7647,0.7564,0.7583
2017-02-08,0.758,0.7612,0.7571,0.7607
2017-02-09,0.7604,0.7634,0.7591,0.7607
2017-02-10,0.7607,0.7652,0.7595,0.7647
2017-02-11,,,,
2017-02-12,,,,
2017-02-13,0.7633,0.7657,0.7616,0.7645
2017-02-14,0.7644,0.7676,0.7625,0.7646
2017-02-15,0.7644,0.7652,0.7618,0.7645
2017-02-16,0.7641,0.7684,0.764,0.7649
2017-02-17,0.7645,0.7655,0.7614,0.764
2017-02-18,,,,
2017-02-19,,,,
2017-02-20,0.7633,0.7646,0.7617,0.7627
2017-02-21,0.7624,0.7631,0.7592,0.7604
2017-02-22,0.7601,0.7625,0.7566,0.7596
2017-02-23,0.7593,0.7641,0.7588,0.7627
2017-02-24,0.7627,0.7657,0.7619,0.764
2017-02-25,,,,
2017-02-26,,,,
2017-02-27,0.7628,0.7641,0.7578,0.7581
2017-02-28,0.7578,0.7594,0.7506,0.7507
2017-03-01,0.7509,0.7525,0.7482,0.7498
2017-03-02,0.7497,0.75,0.7457,0.7464
2017-03-03,0.7461,0.7479,0.7438,0.7479
2017-03-04,,,,
2017-03-05,,,,
2017-03-06,0.747,0.7476,0.7444,0.7453
2017-03-07,0.7453,0.747,0.744,0.7454
2017-03-08,0.7451,0.7462,0.7402,0.7409
2017-03-09,0.7406,0.7415,0.7384,0.74
2017-03-10,0.7397,0.7448,0.7394,0.7428
2017-03-11,,,,
2017-03-12,,,,
2017-03-13,0.7423,0.7444,0.7417,0.743
2017-03-14,0.743,0.7439,0.7405,0.7413
2017-03-15,0.7413,0.752,0.7412,0.7517
2017-03-16,0.7515,0.753,0.7485,0.7504
2017-03-17,0.7501,0.7514,0.7471,0.7482
2017-03-18,,,,
2017-03-19,,,,
2017-03-20,0.7481,0.7494,0.7477,0.7494
2017-03-21,0.7491,0.7509,0.748,0.7487
2017-03-22,0.7484,0.7505,0.7453,0.7498
2017-03-23,0.7495,0.7508,0.7481,0.7483
2017-03-24,0.7483,0.7491,0.7466,0.7478
2017-03-25,,,,
2017-03-26,,,,
2017-03-27,0.7495,0.7505,0.7458,0.7471
2017-03-28,0.7468,0.7486,0.7451,0.7471
2017-03-29,0.7468,0.7504,0.7458,0.7496
2017-03-30,0.7496,0.7529,0.7486,0.7493
2017-03-31,0.7493,0.7526,0.7476,0.7511
2017-04-01,,,,
2017-04-02,,,,
2017-04-03,0.7504,0.7511,0.7458,0.7469
2017-04-04,0.7466,0.7475,0.7427,0.7462
2017-04-05,0.7459,0.7472,0.7431,0.7443
2017-04-06,0.744,0.7461,0.743,0.745
2017-04-07,0.7447,0.7491,0.7441,0.7463
2017-04-08,,,,
2017-04-09,,,,
2017-04-10,0.7454,0.7506,0.7443,0.7504
2017-04-11,0.7501,0.7511,0.7482,0.7501
2017-04-12,0.7497,0.755,0.7492,0.7546
2017-04-13,0.7543,0.756,0.7493,0.7498
2017-04-14,0.7496,0.7511,0.7493,0.7507
2017-04-15,,,,
2017-04-16,,,,
2017-04-17,0.7504,0.7538,0.7498,0.7502
2017-04-18,0.7499,0.7509,0.7458,0.747
2017-04-19,0.7467,0.7473,0.7408,0.7417
2017-04-20,0.7414,0.7428,0.7404,0.7424
2017-04-21,0.7421,0.7429,0.739,0.7411
2017-04-22,,,,
2017-04-23,,,,
2017-04-24,0.7413,0.7454,0.7391,0.7396
2017-04-25,0.7395,0.7398,0.7334,0.7366
2017-04-26,0.7362,0.7382,0.7332,0.7342
2017-04-27,0.734,0.7389,0.7312,0.733
2017-04-28,0.7327,0.7337,0.7297,0.7322
2017-04-29,,,,
2017-04-30,,,,
2017-05-01,0.7323,0.7331,0.7302,0.7311
2017-05-02,0.7308,0.7323,0.7266,0.7294
2017-05-03,0.729,0.7306,0.7273,0.7281
2017-05-04,0.7278,0.7297,0.7255,0.727
2017-05-05,0.7267,0.7328,0.7245,0.7327
2017-05-06,,,,
2017-05-07,,,,
2017-05-08,0.7309,0.7328,0.7277,0.7299
2017-05-09,0.7296,0.7313,0.7266,0.7294
2017-05-10,0.7291,0.7325,0.7278,0.731
2017-05-11,0.7306,0.7308,0.726,0.7295
2017-05-12,0.7292,0.7315,0.7273,0.7294
2017-05-13,,,,
2017-05-14,,,,
2017-05-15,0.7288,0.735,0.7283,0.7335
2017-05-16,0.7332,0.7365,0.7318,0.7345
2017-05-17,0.7342,0.7366,0.7326,0.7359
2017-05-18,0.7355,0.7361,0.7312,0.7346
2017-05-19,0.7343,0.74,0.7342,0.7395
2017-05-20,,,,
2017-05-21,,,,
2017-05-22,0.7396,0.7413,0.738,0.7406
2017-05-23,0.7403,0.7429,0.7389,0.7397
2017-05-24,0.7394,0.7458,0.738,0.7455
2017-05-25,0.7452,0.7468,0.7407,0.7414
2017-05-26,0.7411,0.7442,0.7404,0.7437
2017-05-27,,,,
2017-05-28,,,,
2017-05-29,0.7431,0.7445,0.7416,0.7422
2017-05-30,0.7419,0.7432,0.7401,0.7421
2017-05-31,0.7417,0.744,0.739,0.7408
2017-06-01,0.7404,0.7421,0.7387,0.74
2017-06-02,0.7397,0.7415,0.7377,0.7405
2017-06-03,,,,
2017-06-04,,,,
2017-06-05,0.7405,0.7428,0.7402,0.7418
2017-06-06,0.7414,0.744,0.7411,0.7431
2017-06-07,0.7431,0.7446,0.7388,0.7398
2017-06-08,0.7398,0.7414,0.738,0.7399
2017-06-09,0.7396,0.7447,0.7387,0.7426
2017-06-10,,,,
2017-06-11,,,,
2017-06-12,0.7429,0.7509,0.7419,0.7506
2017-06-13,0.7502,0.7566,0.7502,0.7552
2017-06-14,0.7549,0.7593,0.7531,0.7554
2017-06-15,0.755,0.7559,0.751,0.7542
2017-06-16,0.7539,0.7572,0.7529,0.7564
2017-06-17,,,,
2017-06-18,,,,
2017-06-19,0.7565,0.7579,0.7538,0.7559
2017-06-20,0.7556,0.7571,0.7522,0.7533
2017-06-21,0.753,0.7535,0.7487,0.75
2017-06-22,0.7497,0.7569,0.7493,0.7554
2017-06-23,0.7551,0.7568,0.7511,0.7542
2017-06-24,,,,
2017-06-25,,,,
2017-06-26,0.7534,0.7567,0.7532,0.754
2017-06-27,0.754,0.7604,0.7536,0.7589
2017-06-28,0.7585,0.7682,0.758,0.7668
2017-06-29,0.7665,0.7699,0.7663,0.7693
2017-06-30,0.769,0.7722,0.7688,0.7715
2017-07-01,,,,
2017-07-02,,,,
2017-07-03,0.7704,0.7711,0.7678,0.7688
2017-07-04,0.7685,0.7742,0.7679,0.7728
2017-07-05,0.7725,0.7732,0.7681,0.7716
2017-07-06,0.7713,0.7736,0.7697,0.7704
2017-07-07,0.7701,0.7774,0.7691,0.7769
2017-07-08,,,,
2017-07-09,,,,
2017-07-10,0.7755,0.7767,0.7728,0.7756
2017-07-11,0.7753,0.7759,0.7722,0.7741
2017-07-12,0.7738,0.7879,0.7724,0.7837
2017-07-13,0.7835,0.7859,0.7826,0.7852
2017-07-14,0.785,0.791,0.784,0.7909
2017-07-15,,,,
2017-07-16,,,,
2017-07-17,0.7903,0.7917,0.7868,0.7873
2017-07-18,0.787,0.7947,0.787,0.7914
2017-07-19,0.7911,0.7947,0.7899,0.7932
2017-07-20,0.7929,0.7969,0.7906,0.7937
2017-07-21,0.7934,0.7983,0.7928,0.7977
2017-07-22,,,,
2017-07-23,,,,
2017-07-24,0.7969,0.8008,0.7963,0.7991
2017-07-25,0.7988,0.801,0.7974,0.7988
2017-07-26,0.7988,0.8052,0.7968,0.8031
2017-07-27,0.8028,0.8052,0.795,0.7966
2017-07-28,0.7963,0.805,0.7952,0.8046
2017-07-29,,,,
2017-07-30,,,,
2017-07-31,0.8038,0.8042,0.7979,0.7999
2017-08-01,0.7996,0.8029,0.7962,0.7966
2017-08-02,0.7962,0.7973,0.7938,0.7954
2017-08-03,0.7951,0.7964,0.792,0.7952
2017-08-04,0.7949,0.7962,0.789,0.7908
2017-08-05,,,,
2017-08-06,,,,
2017-08-07,0.7909,0.7916,0.7861,0.7885
2017-08-08,0.7881,0.7903,0.7866,0.7891
2017-08-09,0.7888,0.7894,0.7857,0.7875
2017-08-10,0.7872,0.7885,0.7837,0.7847
2017-08-11,0.7842,0.7899,0.7836,0.7893
2017-08-12,,,,
2017-08-13,,,,
2017-08-14,0.7882,0.7889,0.785,0.7857
2017-08-15,0.7854,0.7861,0.7821,0.7838
2017-08-16,0.7835,0.7928,0.7827,0.7915
2017-08-17,0.7915,0.7941,0.7877,0.7884
2017-08-18,0.7881,0.7962,0.7874,0.7946
2017-08-19,,,,
2017-08-20,,,,
2017-08-21,0.7937,0.7963,0.7928,0.7959
2017-08-22,0.7955,0.7981,0.7936,0.7952
2017-08-23,0.7952,0.7972,0.7932,0.7968
2017-08-24,0.7965,0.7989,0.7956,0.7986
2017-08-25,0.7986,0.802,0.7971,0.8018
2017-08-26,,,,
2017-08-27,,,,
2017-08-28,0.8014,0.8033,0.7973,0.7985
2017-08-29,0.7982,0.8035,0.7964,0.7991
2017-08-30,0.7988,0.7998,0.7909,0.792
2017-08-31,0.7917,0.8013,0.7892,0.801
2017-09-01,0.8007,0.8098,0.8001,0.807
2017-09-02,,,,
2017-09-03,,,,
2017-09-04,0.8071,0.8078,0.8043,0.8055
2017-09-05,0.8052,0.8104,0.8049,0.8083
2017-09-06,0.808,0.8203,0.805,0.8169
2017-09-07,0.8168,0.8255,0.8165,0.8248
2017-09-08,0.8245,0.8289,0.8217,0.8229
2017-09-09,,,,
2017-09-10,,,,
2017-09-11,0.8225,0.8264,0.8212,0.8263
2017-09-12,0.8259,0.8274,0.8199,0.8209
2017-09-13,0.8206,0.8241,0.8178,0.8217
2017-09-14,0.8215,0.8223,0.8168,0.8221
2017-09-15,0.8218,0.8247,0.818,0.8207
2017-09-16,,,,
2017-09-17,,,,
2017-09-18,0.82,0.8214,0.8101,0.8139
2017-09-19,0.8139,0.8158,0.812,0.8134
2017-09-20,0.8131,0.8172,0.8066,0.8108
2017-09-21,0.8105,0.8114,0.808,0.8109
2017-09-22,0.8106,0.8157,0.8092,0.811
2017-09-23,,,,
2017-09-24,,,,
2017-09-25,0.8095,0.8118,0.807,0.8081
2017-09-26,0.8082,0.8108,0.8051,0.8088
2017-09-27,0.8088,0.8104,0.8006,0.801
2017-09-28,0.801,0.8052,0.7983,0.8041
2017-09-29,0.8038,0.8052,0.7978,0.8022
2017-09-30,,,,
2017-10-01,,,,
